,volume,cpu,gpu,weigth,storage,popularity,sellers_amount,screen_size,memory_size,battery_size,blue,price,model_name
0,142275.0,148.0,585.0,263.0,512.0,422,36,5.0,8.0,2000.0,5.0,1690.0,1 1/8GB Bluish Black (5033D-2JALUAA)
1,142275.0,148.0,585.0,263.0,512.0,323,36,5.0,16.0,2000.0,5.0,1803.0,1 5033D 1/16GB Volcano Black (5033D-2LALUAF)
5,236896.0,67.0,900.0,364.0,64.0,71,2,5.8,64.0,3400.0,4.1,10865.0,10 6/64GB Black
6,236896.0,67.0,900.0,364.0,64.0,424,2,6.21,32.0,3400.0,4.1,3999.0,10 Lite 3/32GB Blue
9,237856.0,5.0,450.0,321.0,16.0,215,8,6.21,64.0,3400.0,4.0,4948.0,10 lite 3/64GB Black
15,340599.0,43.0,750.0,539.0,256.0,507,2,1.8,0.004,800.0,5.0,552.0,105 Dual Sim New Black (A00028315)
18,420210.0,5.0,500.0,604.0,16.0,460,5,1.8,0.004,800.0,4.0,663.0,105 Single Sim New Black (A00028356)
19,420210.0,5.0,500.0,604.0,16.0,455,5,1.8,0.004,800.0,4.0,663.0,105 Single Sim New Black (A00028356)
20,420210.0,5.0,500.0,604.0,16.0,378,2,1.8,0.004,800.0,4.0,474.0,105 Single Sim New Blue (A00028372)
21,420210.0,5.0,500.0,604.0,16.0,59,1,1.8,0.004,800.0,4.0,499.0,105 Single Sim New White (A00028371)
24,420210.0,5.0,500.0,604.0,16.0,532,2,6.21,128.0,3400.0,4.0,5499.0,10i 4/128GB Black (51093VQV)
25,420210.0,5.0,500.0,604.0,16.0,444,2,6.21,128.0,3400.0,4.0,5499.0,10i 4/128GB Blue (51093VQX)
29,420210.0,5.0,500.0,604.0,16.0,490,1,5.45,128.0,3000.0,4.0,6584.0,15 4/128GB Black
30,420210.0,5.0,500.0,604.0,16.0,166,3,5.45,64.0,3000.0,4.0,5272.0,15 4/64GB Black
31,420210.0,5.0,500.0,604.0,16.0,125,3,5.45,64.0,3000.0,4.0,5272.0,15 4/64GB Black
32,420210.0,5.0,500.0,604.0,16.0,116,3,5.45,64.0,3000.0,4.0,5272.0,15 4/64GB Black
33,522587.0,43.0,750.0,756.0,128.0,666,1,5.95,64.0,3500.0,5.0,5328.0,15 Plus 6/64GB Black
34,522587.0,43.0,750.0,756.0,128.0,415,1,5.95,64.0,3500.0,5.0,5328.0,15 Plus 6/64GB Gray
48,77434.0,7.0,550.0,110.0,64.0,790,35,6.22,128.0,4000.0,4.1,3877.0,1SE 4/128GB Agate Green (5030E-2BALUA2)
49,77434.0,7.0,550.0,110.0,64.0,793,35,6.22,128.0,4000.0,4.1,3877.0,1SE 4/128GB Agate Green (5030E-2BALUA2)
50,77434.0,7.0,550.0,110.0,64.0,1052,1,5.71,16.0,3000.0,4.1,2299.0,2.2 2/16GB Black
51,77434.0,7.0,550.0,110.0,64.0,870,2,6.2,32.0,4000.0,4.1,2799.0,2.3 2/32GB Green
52,77434.0,7.0,550.0,110.0,64.0,1031,17,6.5,32.0,4500.0,4.1,3162.0,2.4 2/32GB Charcoal
53,77434.0,7.0,550.0,110.0,64.0,823,1,6.26,128.0,3750.0,4.1,9999.0,20 6/128GB Black
91,102378.0,43.0,1000.0,149.0,128.0,620,2,5.5,32.0,3000.0,5.0,3820.0,6.1 4/32GB Black
92,102378.0,43.0,1000.0,149.0,128.0,798,4,5.5,64.0,3000.0,5.0,3962.0,6.1 4/64GB Black
93,62253.0,2.0,500.0,96.0,8.0,202,1,5.8,64.0,3060.0,4.0,5020.0,6.1 Plus 4/64GB Blue
94,75966.0,2.0,320.0,128.0,4.0,329,1,6.5,64.0,4300.0,3.0,5777.0,6S 4/64GB Eclipse Black
95,75966.0,2.0,320.0,128.0,4.0,291,1,6.5,64.0,4300.0,3.0,5777.0,6S 4/64GB Eclipse Black
96,78390.0,5.0,400.0,101.0,8.0,953,5,6.5,128.0,4300.0,4.0,6078.0,6S 6/128GB Lunar White
97,78390.0,5.0,400.0,101.0,8.0,661,8,6.41,256.0,3700.0,4.0,15625.0,6T 8/256GB Midnight Black
98,160704.0,4.0,400.0,173.0,8.0,989,17,6.5,64.0,5000.0,4.0,4292.0,6i 3/64GB White
99,88595.0,5.0,450.0,134.0,8.0,1042,27,6.5,128.0,5000.0,4.2,4946.0,6i 4/128GB Green
100,88595.0,5.0,450.0,134.0,8.0,158,1,5.2,16.0,3100.0,4.2,2766.0,7 16GB (Gold)
101,88595.0,5.0,450.0,134.0,8.0,133,1,5.2,16.0,3100.0,4.2,2766.0,7 16GB (Gold)
106,79466.0,4.0,450.0,134.0,8.0,1179,23,6.4,128.0,4500.0,4.0,8584.0,7 Pro 8/128GB Mirror Blue
107,97346.0,5.0,600.0,143.0,16.0,1067,11,6.55,256.0,4300.0,4.2,17172.0,8 12/256GB Onyx Black
108,97346.0,5.0,600.0,143.0,16.0,535,3,5.2,32.0,3000.0,4.2,3613.0,8 3/32GB Blue
109,82256.0,5.0,450.0,150.0,16.0,693,1,5.2,64.0,3000.0,5.0,3499.0,8 4/64GB (Blue)
110,89107.0,63.0,700.0,162.0,64.0,1155,13,6.55,128.0,4300.0,5.0,15840.0,8 8/128GB Onyx Black
111,81120.0,62.0,546.0,155.0,64.0,626,1,5.3,64.0,3090.0,5.0,6222.0,8 Dual SIM Silver
120,83571.0,6.0,570.0,130.0,16.0,767,1,5.7,32.0,3020.0,4.2,2499.0,8S 2/32GB Black (51093ULM)
121,98039.0,5.0,600.0,140.0,8.0,769,1,5.7,32.0,3020.0,4.2,2499.0,8S 2/32GB Black (51093ULM)
122,82811.0,218.0,800.0,163.0,128.0,938,2,6.55,256.0,4500.0,5.0,23999.0,8T 12/256GB Cyberpunk 2077 Limited Edition
123,82811.0,218.0,800.0,163.0,128.0,1159,29,6.55,256.0,4500.0,5.0,18200.0,8T 12/256GB Lunar Silver
124,72520.0,13.0,624.0,139.0,128.0,1157,35,6.55,128.0,4500.0,4.2,16845.0,8T 8/128GB Aquamarine Green
125,96032.0,5.0,500.0,140.0,16.0,694,2,7.12,64.0,5000.0,4.2,5652.0,8x Max 4/64GB Black
126,96032.0,5.0,500.0,140.0,16.0,697,2,7.12,64.0,5000.0,4.2,5652.0,8x Max 4/64GB Black
129,86299.0,25.0,770.0,141.0,32.0,142,3,5.65,32.0,3000.0,5.0,3491.0,9 Lite 3/32GB Midnight Black
130,86299.0,25.0,770.0,141.0,32.0,342,2,5.84,32.0,3000.0,5.0,3424.0,9i 3/32GB Black
131,85850.0,5.0,598.0,170.0,32.0,361,2,5.84,32.0,3000.0,4.1,3424.0,9i 3/32GB Black
132,85850.0,5.0,598.0,170.0,32.0,216,1,5.84,64.0,3000.0,4.1,4009.0,9i 4/64GB Blue
133,82602.0,40.0,820.0,152.0,64.0,180,1,5.84,64.0,3000.0,5.0,4009.0,9i 4/64GB Blue
136,97090.0,5.0,500.0,212.0,16.0,384,26,2.4,0.032,2000.0,4.0,834.0,A1 Dual Gold
151,101274.0,5.0,450.0,159.0,16.0,204,1,1.77,0.032,800.0,4.0,279.0,A173 Black/Orange
152,81495.0,57.0,625.0,151.0,128.0,295,1,2.4,0.032,1000.0,5.0,359.0,A225 Black
165,100332.0,5.0,450.0,183.0,16.0,650,4,5.5,16.0,2650.0,4.2,1599.0,A5L+ 2/16GB Grey
166,100332.0,5.0,450.0,183.0,16.0,478,2,6.2,32.0,4230.0,4.2,3266.0,A5s 3/32Gb Blue
167,87997.0,8.0,660.0,146.0,32.0,857,42,6.1,16.0,4080.0,4.2,1910.0,A60 1/16GB Black
168,87997.0,8.0,660.0,146.0,32.0,1027,8,6.08,64.0,4080.0,4.2,2831.0,A60 Plus 4/64GB Black
173,98405.0,5.0,680.0,160.0,32.0,419,2,6.3,64.0,4150.0,4.2,3327.0,A7 Pro 4/64GB Black
174,98405.0,5.0,680.0,160.0,32.0,948,11,6.5,128.0,5000.0,4.2,6867.0,A72 4/128GB Aurora Purple
175,98405.0,5.0,680.0,160.0,32.0,1097,55,6.44,128.0,4015.0,4.2,6615.0,A73 4/128GB Navy Blue
176,89750.0,46.0,430.0,151.0,64.0,622,1,6.53,32.0,4150.0,5.0,2479.0,A7S 2/32GB Black
178,89750.0,46.0,430.0,151.0,64.0,578,10,6.21,16.0,4200.0,5.0,2232.0,A80 2/16GB Red
179,101984.0,6.0,650.0,135.0,8.0,1018,26,6.49,64.0,4680.0,4.1,3250.0,A80 Pro 4/64GB Black
180,89937.0,177.0,600.0,175.0,128.0,73,1,6.5,128.0,5000.0,5.1,6039.0,A9 2020 4/128GB Marine Green
182,89473.0,148.0,587.0,181.0,256.0,797,10,5.99,32.0,5400.0,5.1,5851.0,A9 4/32GB Black
183,89473.0,148.0,587.0,181.0,256.0,704,14,5.99,64.0,5400.0,5.1,6900.0,A9 4/64GB Black
184,89473.0,148.0,587.0,181.0,256.0,1124,21,6.4,128.0,4025.0,5.1,8141.0,A91 8/128GB Black
185,89473.0,148.0,587.0,181.0,256.0,316,11,2.4,0.064,1500.0,5.1,294.0,AS-201 Dual Sim Blue
186,78570.0,5.0,450.0,159.0,16.0,377,20,2.2,0.032,1000.0,4.0,398.0,AS-203 Dual Sim Black
187,78570.0,5.0,450.0,159.0,16.0,155,1,5.0,32.0,3500.0,4.0,3460.0,Action-X3 3/32GB Black
188,100971.0,5.0,680.0,150.0,32.0,632,7,5.99,64.0,2900.0,4.1,7827.0,Aquos D10 4/64GB Black
189,100971.0,5.0,680.0,150.0,32.0,146,5,6.67,128.0,5800.0,4.1,12913.0,Armor 10 5G 8/128GB Black
192,79815.0,43.0,621.0,155.0,64.0,671,10,6.3,128.0,5500.0,4.1,7958.0,Armor 7E 4/128GB Black
193,79815.0,43.0,621.0,155.0,64.0,673,10,6.3,128.0,5500.0,4.1,7958.0,Armor 7E 4/128GB Black
194,96762.0,5.0,598.0,145.0,16.0,865,29,6.1,64.0,5500.0,4.2,5943.0,Armor 8 4/64GB Black (6937748733744)
195,87000.0,5.0,550.0,144.0,32.0,1009,20,6.3,128.0,6600.0,4.0,15611.0,Armor 9 8/128GB Black (6937748733515)
200,84155.0,51.0,725.0,149.0,32.0,395,29,5.5,32.0,5000.0,4.2,3155.0,Armor X3 2/32GB Black
203,72694.0,4.0,400.0,120.0,16.0,662,38,5.0,16.0,4000.0,4.1,2786.0,Armor X6 2/16GB Orange
208,85650.0,148.0,585.0,168.0,256.0,110,1,5.45,8.0,4000.0,5.0,1699.0,B1P DS Champagne Gold
209,85650.0,148.0,585.0,168.0,256.0,160,1,5.45,8.0,4000.0,5.0,1699.0,B1P DS Champagne Gold
210,85650.0,204.0,754.0,168.0,256.0,390,30,2.0,0.064,1300.0,5.0,646.0,B200RX (White)
211,91613.0,148.0,585.0,167.0,128.0,599,28,2.0,0.064,1300.0,5.0,655.0,B200RX (Yellow)
212,84576.0,14.0,653.0,163.0,128.0,448,19,2.4,0.032,1200.0,4.2,400.0,B241 Black
214,84576.0,14.0,653.0,163.0,128.0,49,1,5.0,8.0,2500.0,4.2,1715.0,B505 Unit 4G Dual Sim Black
215,84576.0,14.0,653.0,163.0,128.0,25,1,5.5,64.0,5050.0,4.2,3107.0,BL5000 Black (6924351609900)
216,84576.0,14.0,653.0,163.0,128.0,94,1,5.5,64.0,5050.0,4.2,3107.0,BL5000 Black (6924351609900)
221,87019.0,80.0,710.0,162.0,128.0,515,13,5.7,128.0,5580.0,5.0,4727.0,BV5100 4/128GB Green
222,87019.0,80.0,710.0,162.0,128.0,138,22,5.7,128.0,5580.0,5.0,6789.0,BV5100 Pro 4/128GB Black
223,87019.0,80.0,710.0,162.0,128.0,772,54,5.5,16.0,4400.0,5.0,2596.0,BV5500 2/16GB Black
224,87019.0,80.0,710.0,162.0,128.0,1023,25,5.5,32.0,4400.0,5.0,2720.0,BV5500 Plus 3/32GB Black
225,105120.0,5.0,500.0,143.0,16.0,553,47,5.5,16.0,4400.0,4.0,3566.0,BV5500 Pro 3/16GB Black
226,98596.0,148.0,585.0,191.0,128.0,548,47,5.5,16.0,4400.0,5.0,3566.0,BV5500 Pro 3/16GB Black
227,94752.0,44.0,504.0,205.0,128.0,425,1,5.5,16.0,5580.0,5.0,2394.0,BV5800 Pro 2/16GB Black
228,94752.0,44.0,504.0,205.0,128.0,659,26,5.7,32.0,5580.0,5.0,3668.0,BV5900 3/32GB Black
229,92018.0,5.0,700.0,154.0,16.0,806,23,6.88,16.0,5580.0,4.2,3386.0,BV6100 3/16GB Black
230,92018.0,5.0,700.0,154.0,16.0,849,29,5.7,32.0,4380.0,4.2,3762.0,BV6300 3/32GB Black
231,90088.0,6.0,357.0,165.0,32.0,882,28,5.7,128.0,4380.0,4.0,5418.0,BV6300 Pro 6/128GB Black
233,104111.0,5.0,550.0,162.0,16.0,764,10,5.84,64.0,5580.0,4.2,4793.0,BV6900 4/64GB Black
234,97294.0,5.0,550.0,151.0,16.0,536,19,5.0,64.0,4180.0,4.2,4584.0,BV8000 Pro Lion Gold
235,98116.0,143.0,720.0,189.0,256.0,525,19,5.0,64.0,4180.0,5.0,4584.0,BV8000 Pro Lion Gold
236,88305.0,5.0,500.0,157.0,16.0,954,13,6.3,64.0,13000.0,4.0,5355.0,BV9100 4/64GB Black
237,101747.0,16.0,650.0,180.0,32.0,562,5,5.7,64.0,10000.0,4.2,6356.0,BV9500 Black
241,96113.0,5.0,550.0,160.0,16.0,129,20,6.21,64.0,5580.0,4.0,6072.0,BV9600 4/64GB Silver
245,91011.0,30.0,550.0,155.0,32.0,898,20,5.84,128.0,4380.0,4.2,6967.0,BV9700 Pro 6/128GB Black
246,91011.0,30.0,550.0,155.0,32.0,77,3,5.84,128.0,4380.0,4.2,7686.0,BV9700 Pro 6/128GB Black + Night Vision Camera
247,91011.0,30.0,550.0,155.0,32.0,293,14,6.3,128.0,6580.0,4.2,10064.0,BV9800 6/128Gb Black
248,91011.0,30.0,550.0,155.0,32.0,332,14,6.3,128.0,6580.0,4.2,10064.0,BV9800 6/128Gb Black
249,91011.0,30.0,550.0,155.0,32.0,879,30,6.3,128.0,6580.0,4.2,10436.0,BV9800 Pro 6/128GB Orange
250,91011.0,30.0,550.0,155.0,32.0,732,14,5.84,256.0,4380.0,4.2,9916.0,BV9900 8/256GB Black
254,86858.0,48.0,650.0,159.0,64.0,150,2,6.39,128.0,4000.0,5.0,15149.0,Black Shark 2 Pro 8/128GB Black
255,82257.0,59.0,1000.0,159.0,256.0,43,11,6.39,128.0,4000.0,4.2,15399.0,Black Shark 2 Pro 8/128GB Iceberg Grey
256,82257.0,59.0,1000.0,159.0,256.0,726,4,6.67,256.0,4720.0,4.2,18319.0,Black Shark 3 12/256GB Black
260,100853.0,48.0,650.0,164.0,64.0,700,56,5.45,32.0,2600.0,4.2,2016.0,Blade A3 2020 1/32GB Blue
262,110918.0,5.0,500.0,150.0,16.0,446,47,5.45,32.0,2600.0,4.0,2021.0,Blade A3 2020 1/32GB Red
263,110918.0,5.0,500.0,150.0,16.0,782,1,5.45,16.0,2600.0,4.0,1999.0,Blade A5 2/16GB Black
264,110918.0,5.0,500.0,150.0,16.0,601,1,5.45,16.0,2600.0,4.0,1999.0,Blade A5 2/16GB Blue
265,110918.0,5.0,500.0,150.0,16.0,594,1,5.45,16.0,2600.0,4.0,1999.0,Blade A5 2/16GB Blue
266,110918.0,6.0,570.0,150.0,16.0,706,4,5.45,32.0,2600.0,4.0,2257.0,Blade A5 2/32GB Black
267,110918.0,6.0,570.0,150.0,16.0,529,8,5.45,32.0,2600.0,4.0,2435.0,Blade A5 2/32GB Blue
268,110918.0,6.0,570.0,150.0,16.0,942,44,6.08,32.0,3200.0,4.0,2517.0,Blade A5 2020 2/32GB Black
270,101861.0,148.0,587.0,192.0,256.0,1016,56,6.08,32.0,4000.0,5.1,2783.0,Blade A7 2020 2/32GB Gradient
271,101861.0,148.0,587.0,192.0,256.0,1071,53,6.08,64.0,4000.0,5.1,3154.0,Blade A7 2020 3/64GB Gradient
272,93701.0,70.0,650.0,178.0,256.0,775,38,6.5,64.0,4000.0,5.2,3052.0,Blade A7S 2/64GB Blue
273,93701.0,70.0,650.0,178.0,256.0,642,39,6.0,32.0,2600.0,5.2,1801.0,Blade L210 1/32GB Black
274,93701.0,70.0,650.0,178.0,256.0,399,42,6.0,32.0,2600.0,5.2,1789.0,Blade L210 1/32GB Blue
276,101473.0,10.0,800.0,156.0,64.0,750,44,5.0,16.0,2000.0,5.0,1552.0,Blade L8 1/16GB Black
277,86788.0,57.0,950.0,163.0,128.0,691,45,5.0,16.0,2000.0,5.0,1529.0,Blade L8 1/16GB Blue
285,95432.0,30.0,550.0,152.0,32.0,634,1,6.1,32.0,4000.0,4.2,2899.0,C2 2/32GB Diamond Black
286,96549.0,48.0,650.0,160.0,32.0,1044,11,6.4,64.0,4000.0,4.2,3276.0,C21 4/64GB Black
291,87604.0,47.0,840.0,173.0,128.0,625,4,6.4,128.0,4200.0,5.2,5671.0,C30 8/128GB Black
292,82821.0,24.0,520.0,145.0,32.0,307,1,5.0,4.0,2000.0,4.2,1150.0,C552 Black
293,82821.0,24.0,520.0,145.0,32.0,319,1,5.0,4.0,2000.0,4.2,1150.0,C552 Red
295,103949.0,30.0,770.0,172.0,32.0,161,1,5.45,32.0,3000.0,5.0,2618.0,C9 Pro 3/32GB Black
296,92767.0,67.0,900.0,172.0,128.0,111,1,5.45,32.0,3000.0,5.0,2618.0,C9 Pro 3/32GB Black
300,90722.0,36.0,450.0,157.0,32.0,876,6,6.6,64.0,5000.0,4.2,4057.0,Camon 15 4/64GB Dark Jade (4895180755057)
301,90722.0,36.0,450.0,157.0,32.0,252,3,6.6,128.0,5000.0,4.2,4299.0,Camon 15 CD7 4/128GB Fascinating Purple (4895180759550)
308,97532.0,143.0,720.0,192.0,256.0,271,2,5.5,64.0,4060.0,5.0,3968.0,Cool Play 6 6/64GB Black
310,104737.0,36.0,450.0,157.0,32.0,245,5,5.0,16.0,2000.0,4.2,2059.0,Core 50 16GB Red
311,104737.0,36.0,450.0,157.0,32.0,159,1,5.5,16.0,2700.0,4.2,1979.0,D6 Pro 2/16GB Black
312,104737.0,36.0,450.0,157.0,32.0,109,1,5.5,16.0,2700.0,4.2,1979.0,D6 Pro 2/16GB Black
313,83238.0,44.0,504.0,154.0,64.0,494,1,5.5,32.0,3000.0,5.0,2884.0,D855 G3 32GB (Silk White)
321,88655.0,154.0,675.0,183.0,256.0,335,24,2.4,0.032,3000.0,5.0,546.0,E240 Power DualSim Black (680576170088)
322,89886.0,161.0,670.0,183.0,256.0,296,24,2.4,0.032,3000.0,5.1,546.0,E240 Power DualSim Black (680576170088)
330,90625.0,59.0,1000.0,164.0,128.0,929,5,6.5,64.0,5000.0,4.2,4217.0,E7 Plus 4/64GB Misty Blue (PAKX0008RS)
